CodigoHistorial,Username_Paciente,Nombre_Paciente,FechaNacimiento,Cedula,FechaCreacion
HIS-9119771,cmartinez2,Camila Martinez Cruz,1997-10-20,2200497911,2022-03-14
HIS-7196459,aaguilar2,Andrea Aguilar Figueroa,1964-06-25,1654721719,2023-02-08
HIS-0747996,vchavez4,Victor Chávez Castillo,1979-05-24,1836735074,2024-04-30
HIS-1969260,cruiz4,Cristian Ruiz Perez,1992-06-03,0949363196,2023-11-21
HIS-1686835,cmartinez3,Carlos Martinez Medina,1968-12-21,0732105168,2024-01-16
HIS-8620033,maguilar4,Mario Aguilar Chávez,2000-01-16,0632959862,2022-07-02
HIS-3385665,gmendez1,Gabriel Mendez Benítez,1956-03-03,0630029338,2023-05-27
HIS-4259038,lchavez2,Laura Chávez Tapuy,1990-10-06,1602918425,2022-11-14
HIS-0269434,storres5,Silvia Torres Alvarado,1994-08-04,1147063026,2024-02-07
HIS-4557777,vtapuy,Valeria Tapuy Rivera,1977-12-22,1444746455,2022-04-11
HIS-8159342,halvarado,Hugo Alvarado Shiguango,1993-08-26,1134505815,2023-06-17
HIS-6488183,lespinoza6,Laura Espinoza Cruz,1981-04-07,1548663648,2024-09-09
HIS-2376511,dvega3,Daniel Vega Rivera,1965-02-20,1709150237,2023-08-17
HIS-2979184,fshiguango5,Fernando Shiguango Torres,1991-09-25,1409796297,2023-10-12
HIS-9766243,dvargas4,David Vargas Tapuy,1962-04-04,2416653976,2023-06-03
HIS-7758759,lvega4,Laura Vega Reyes,1987-08-15,1922574775,2024-01-27
HIS-8397366,hbenitez,Hugo Benítez Cáceres,1973-06-24,1735579839,2022-08-21
HIS-3436953,cbenitez4,Camila Benítez Chávez,1969-04-02,1005919343,2024-04-12
HIS-9660374,rdiaz5,Ricardo Diaz Chávez,2003-11-11,2035980966,2024-08-21
HIS-9897597,iramos4,Isabel Ramos Vega,1975-06-01,0809773989,2022-04-24
HIS-0168859,glopez2,Gabriela Lopez Castro,1988-03-12,2319629016,2023-08-17
HIS-1716095,gguzman3,Gabriel Guzmán Vargas,1960-12-19,2205671171,2024-07-31
HIS-3620220,mtapuy6,Maria Tapuy Romero,2002-12-01,2323805362,2023-12-17
HIS-5688324,afigueroa5,Antonio Figueroa Aguilar,1983-10-27,1511281568,2022-11-15
HIS-3948266,eperez2,Eduardo Perez Morales,1982-09-04,1607306394,2024-05-17
HIS-7518511,smedina5,Sergio Medina Vega,1985-11-05,1156067751,2023-12-26
HIS-8529512,dromero3,Diego Romero Alvarado,1995-03-02,2148810852,2024-12-14
HIS-3109539,crodriguez6,Carla Rodriguez Mendez,1995-07-14,0320749310,2022-07-02
HIS-4539193,fjimenez3,Fabian Jimenez Castro,1991-10-22,2255000453,2022-03-18
HIS-3670472,rvargas6,Rosa Vargas Guzmán,2004-09-24,0826580367,2022-07-19
HIS-6657273,portega,Pablo Ortega Gonzalez,1972-12-28,1052449665,2024-05-04
HIS-9938138,cvargas2,Carla Vargas Garcia,1981-09-18,2246170993,2022-07-30
HIS-5076938,ralvarado5,Raul Alvarado Mendez,1969-02-05,1341281507,2023-12-17
HIS-9559439,acastro4,Andres Castro Medina,1994-08-04,1947622955,2024-08-12
HIS-1486654,nromero2,Nicolas Romero Tapuy,1966-07-09,0430426148,2023-08-05
HIS-1376766,maguilar5,Mario Aguilar Figueroa,1967-09-26,1055419137,2023-01-29
HIS-4156755,tcastillo1,Teresa Castillo Rivera,1967-05-05,1017607415,2023-10-29
HIS-4198561,lbenitez4,Laura Benítez Diaz,1985-06-01,0532138419,2024-01-24
HIS-1266129,ijimenez,Ivan Jimenez Cerda,1961-12-26,0650727126,2023-05-24
HIS-6778947,scastro3,Sofia Castro Reyes,1989-08-21,0816277677,2024-07-26
HIS-7288333,mfigueroa2,Monica Figueroa Guzmán,1983-11-17,0703675728,2023-03-05
HIS-9066175,jmedina1,Jorge Medina Ramirez,1961-11-11,2353177906,2022-07-16
HIS-8047279,mmedina2,Manuel Medina Jimenez,1972-11-08,1802362804,2024-09-18
HIS-6036428,dreyes4,Daniela Reyes Herrera,1964-07-21,0329106603,2022-12-24
HIS-1317593,nfigueroa1,Natalia Figueroa Torres,1975-08-28,0521826131,2024-10-13
HIS-2660324,dguzman6,Diana Guzmán Cerda,2003-07-18,0309975266,2022-12-02
HIS-3996671,dmorales2,David Morales Shiguango,1966-07-26,0708714399,2022-03-23
HIS-8896632,rmendez2,Rodrigo Mendez Tapuy,1966-03-20,1045798889,2023-03-01
HIS-8419317,cgomez6,Claudia Gomez Castillo,1993-05-15,0901493841,2022-04-17
HIS-7505769,sjimenez4,Sebastian Jimenez Vega,1957-01-28,0736983750,2024-10-20
HIS-9887120,sdiaz1,Sebastian Diaz Ramirez,1971-01-04,1511135988,2022-04-10
HIS-6268058,mperez2,Maria Perez Guzmán,1980-04-08,2213520626,2022-08-28
HIS-7137886,abenitez5,Ana Benítez Flores,1978-01-18,0700171713,2022-05-31
HIS-5969677,promero2,Patricio Romero Aguilar,1996-01-05,1515263596,2023-01-16
HIS-9217853,cmartinez4,Carla Martinez Medina,1978-08-03,1426024921,2024-10-17
HIS-5816043,atapuy5,Andres Tapuy Guzmán,1960-02-09,2035261581,2022-11-29
HIS-3787479,egrefa3,Eduardo Grefa Vargas,1974-06-21,1226731378,2022-04-20
HIS-1728995,mgarcia5,Marcela Garcia Diaz,1989-04-28,0901176172,2022-07-05
HIS-6410047,drivera3,David Rivera Rodriguez,2000-08-18,0827965641,2022-11-01
HIS-4785826,ajimenez4,Antonio Jimenez Cruz,1958-11-14,0952411478,2023-08-25
HIS-1537334,agrefa6,Antonio Grefa Herrera,1973-07-09,1303895153,2023-10-28
HIS-1158991,ajimenez5,Antonio Jimenez Espinoza,1989-10-28,1106054115,2022-04-04
HIS-3067293,scastillo3,Sandra Castillo Castro,1972-12-08,2430188306,2024-01-31
HIS-5356051,afigueroa6,Antonio Figueroa Shiguango,1960-12-04,0206852535,2024-11-27
HIS-0907960,mrodriguez2,Monica Rodriguez Guzmán,1979-07-17,1219055090,2022-04-12
HIS-0696729,egonzalez,Eduardo Gonzalez Vega,1967-02-25,2101954069,2022-09-09
HIS-3197732,tespinoza1,Teresa Espinoza Romero,1977-07-04,2018223319,2024-05-19
HIS-3567186,fperez5,Fernando Perez Diaz,1971-03-02,0917732356,2024-06-18
HIS-4227773,mramirez2,Monica Ramirez Chávez,1977-12-28,2147199422,2024-10-03
HIS-3866140,vgomez,Valeria Gomez Tapuy,1961-11-21,0739572386,2022-05-31
HIS-6955777,mrodriguez3,Miguel Rodriguez Shiguango,1957-09-16,1115024695,2023-05-26
HIS-8528227,acaceres2,Ana Cáceres Vargas,1982-12-18,0741370852,2023-01-16
HIS-9335593,igarcia,Ivan Garcia Guzmán,1955-04-15,2017151933,2023-07-24
HIS-4637593,sramirez4,Sergio Ramirez Sanchez,1975-04-12,0817049463,2023-10-22
HIS-8269253,rcruz4,Raul Cruz Herrera,1992-09-25,1851180826,2022-12-06
HIS-5386883,mortega2,Marcela Ortega Morales,1968-04-03,1505641538,2022-07-24
HIS-3778472,lperez4,Lorena Perez Sanchez,1984-01-25,1925309377,2023-03-17
HIS-8207471,asanchez8,Antonio Sanchez Alvarado,1974-07-18,1910045820,2023-07-07
HIS-5397739,rcastillo4,Ricardo Castillo Martinez,1977-08-18,1422990539,2022-02-16
HIS-5687120,malvarado1,Maria Alvarado Sanchez,1971-01-21,1946844568,2024-01-11
HIS-7577759,fshiguango6,Fernanda Shiguango Jimenez,1977-12-21,0142016757,2022-04-17
HIS-0069437,ogonzalez,Oscar Gonzalez Herrera,1994-08-13,0935484006,2024-12-18
HIS-2455720,grivera1,Gabriela Rivera Chávez,1957-12-16,1404899245,2023-11-10
HIS-5957197,dsanchez5,Diego Sanchez Ruiz,1971-02-21,1215081595,2024-06-05
HIS-1998758,bshiguango,Beatriz Shiguango Ruiz,1987-05-10,0700323199,2023-07-24
HIS-2810483,ggrefa2,Gabriela Grefa Figueroa,2004-10-15,0624183281,2023-10-27
HIS-6519041,tvargas1,Teresa Vargas Cerda,1990-01-21,1920094651,2024-09-03
HIS-0558249,cshiguango1,Claudia Shiguango Aguilar,1982-03-28,0947378055,2024-07-03
HIS-9156884,bramos2,Beatriz Ramos Vega,1968-02-15,1456091915,2024-06-10
HIS-6357269,iortega1,Ivan Ortega Aguilar,1972-01-12,1529105635,2024-07-11
HIS-0947255,rrodriguez8,Ricardo Rodriguez Perez,1972-12-18,1224494094,2023-07-06
HIS-2046370,lshiguango3,Lorena Shiguango Ruiz,1963-09-21,2233354204,2022-10-20
HIS-6689892,cgrefa5,Claudia Grefa Benítez,1998-05-09,1608942668,2022-12-20
HIS-5357359,fchavez,Fabian Chávez Lopez,1973-10-03,0239616535,2022-08-17
HIS-5078536,sromero4,Sandra Romero Rodriguez,1985-10-17,2232592507,2022-10-18
HIS-0257321,clopez7,Claudia Lopez Rodriguez,1973-02-18,1703349025,2022-01-08
HIS-4048222,tguzman1,Teresa Guzmán Guzmán,1982-06-19,0402946404,2023-12-16
HIS-6667730,cdiaz8,Carlos Diaz Morales,1977-11-24,1950596666,2023-08-11
HIS-0308052,areyes5,Andrea Reyes Shiguango,1980-03-12,2433485030,2022-04-06
HIS-3797277,dvega4,Diego Vega Castro,1972-10-03,2042448379,2022-12-18
HIS-1086650,sgrefa2,Sofia Grefa Tapuy,1966-12-10,1627869108,2022-07-25
HIS-0708222,jgrefa1,Jorge Grefa Martinez,1982-06-15,0504041070,2024-12-19
HIS-1106999,portega1,Patricia Ortega Castillo,1969-08-02,0109353110,2022-04-05
HIS-3056082,mcaceres5,Monica Cáceres Diaz,1960-01-04,0335607305,2023-08-16
HIS-6166079,sgonzalez4,Sofia Gonzalez Benítez,1960-05-08,2012400616,2023-12-01
HIS-0128599,cshiguango2,Carmen Shiguango Perez,1985-07-20,0340045012,2023-01-26
HIS-6220394,dfigueroa2,Daniela Figueroa Vega,2003-01-13,1405485622,2023-06-24
HIS-7195955,aramirez3,Adriana Ramirez Tapuy,1959-10-16,1121827719,2023-11-08
HIS-4430578,srivera1,Sergio Rivera Medina,2005-11-01,1658650443,2024-12-21
HIS-2630124,llopez2,Lucia Lopez Gonzalez,2001-10-22,1103786263,2024-10-31
HIS-0649360,rgarcia2,Raul Garcia Castro,1993-12-21,1358170064,2024-08-15
HIS-0728574,cmartinez5,Cristian Martinez Castillo,1985-09-09,0907150072,2023-01-02
HIS-6616291,gramos2,Gabriela Ramos Vega,1962-05-07,0446770661,2022-01-22
HIS-3369246,rrivera3,Ricardo Rivera Castro,1992-10-26,0655978336,2023-07-03
HIS-2038661,salvarado1,Sandra Alvarado Alvarado,1986-11-02,0102256203,2022-05-24
HIS-5919179,smedina6,Sebastian Medina Reyes,1991-07-26,1503559591,2023-12-13
HIS-2069481,mmartinez3,Manuel Martinez Torres,1994-05-01,1216873206,2024-06-18
HIS-0065617,pbenitez4,Patricio Benítez Tapuy,1956-01-09,0443410006,2024-05-31
HIS-4959517,caguilar8,Carmen Aguilar Garcia,1995-06-24,2349706495,2023-05-12
HIS-6477571,mtorres6,Maria Torres Tapuy,1975-08-11,2149027647,2023-09-04
HIS-2879919,smendez1,Sergio Mendez Gomez,1999-03-18,1620628287,2024-01-09
HIS-1749513,smartinez1,Silvia Martinez Ramirez,1995-05-03,0722471174,2024-11-16
HIS-4519981,pmendez,Patricio Mendez Sanchez,1999-10-05,0500740451,2024-02-23
HIS-2346036,pgrefa4,Patricia Grefa Ramos,1960-03-10,2010925234,2022-09-10
HIS-3679798,mvargas3,Mario Vargas Guzmán,1997-05-24,0315819367,2023-10-08
HIS-4657026,fbenitez3,Fernanda Benítez Ramirez,1970-11-25,1208951465,2022-04-05
HIS-9685658,fflores3,Fernando Flores Cruz,1956-05-08,0818831968,2024-06-10
HIS-5706728,vlopez1,Verónica Lopez Tapuy,1967-09-02,2116027570,2024-12-12
HIS-2475534,vlopez2,Victor Lopez Cáceres,1955-10-17,1501998247,2024-04-27
HIS-6077457,pgomez4,Paola Gomez Grefa,1974-12-28,2151689607,2022-12-01
HIS-2215737,acastillo6,Andrea Castillo Grefa,1957-09-02,0138179221,2024-12-23
HIS-9047937,malvarado2,Mario Alvarado Ortega,1979-01-06,2424878904,2022-07-24
HIS-4308377,avega1,Antonio Vega Aguilar,1983-02-05,1005997430,2024-05-06
HIS-7399341,mmendez2,Maria Mendez Perez,1993-10-09,1127813739,2023-06-01
HIS-6675567,aalvarado4,Alejandro Alvarado Rivera,1955-02-11,1510597667,2024-06-24
HIS-5276669,atorres9,Andrea Torres Ramirez,1966-10-06,2047856527,2022-04-23
HIS-5446835,faguilar1,Fabian Aguilar Shiguango,1968-04-20,2020601544,2022-10-04
HIS-9665872,dflores3,Diana Flores Ortega,1958-09-10,2126862966,2023-02-16
HIS-6085982,cespinoza5,Carmen Espinoza Rivera,1959-05-20,1417350608,2022-03-16
HIS-5480110,lfigueroa3,Luis Figueroa Sanchez,2001-05-28,1435954548,2022-11-17
HIS-3005790,ptorres,Patricio Torres Romero,1957-12-15,2258987300,2022-05-02
HIS-5029153,agonzalez6,Adriana Gonzalez Ramirez,1991-11-10,1603402502,2024-04-27
HIS-1180186,cortega4,Claudia Ortega Martinez,2001-08-11,1114774118,2024-01-06
HIS-8278647,sgomez2,Sandra Gomez Martinez,1986-08-23,0951552827,2023-07-26
HIS-7436437,pflores,Pablo Flores Espinoza,1964-12-26,2325786743,2024-11-10
HIS-9785926,ogarcia,Oscar Garcia Aguilar,1959-07-21,1551009978,2023-06-16
HIS-2477839,itorres,Ivan Torres Vega,1978-09-24,1245970247,2023-06-19
HIS-4457640,sruiz3,Silvia Ruiz Ortega,1976-10-21,0452343445,2023-08-22
HIS-8267580,njimenez4,Natalia Jimenez Castillo,1975-05-09,2007312826,2024-10-12
HIS-0977126,nramos2,Nicolas Ramos Ramos,1971-12-22,0230507097,2023-02-19
HIS-0729434,vflores1,Verónica Flores Garcia,1994-10-20,1648047072,2024-06-09
HIS-3806123,dcerda3,Daniel Cerda Vargas,1961-07-26,1224198380,2023-12-22
HIS-3317922,sshiguango1,Sofia Shiguango Mendez,1979-02-20,1547155331,2024-05-16
HIS-8686993,gmartinez1,Gabriela Martinez Flores,1969-09-21,0400027868,2022-04-20
HIS-2818519,mguzman4,Miguel Guzmán Garcia,1985-06-07,1117693281,2022-07-01
HIS-7987996,cherrera3,Cristian Herrera Cruz,1979-11-09,1832075798,2023-10-09
HIS-7119854,rherrera3,Rodrigo Herrera Diaz,1998-02-18,1820927711,2022-11-16
HIS-0798011,drodriguez2,Daniel Rodriguez Diaz,1980-12-15,0358672079,2024-02-10
HIS-5590171,ajimenez6,Ana Jimenez Reyes,2001-03-19,0901026559,2024-09-03
HIS-2378152,nmartinez3,Nicolas Martinez Romero,1981-02-27,0138590237,2024-02-08
HIS-7875865,pgarcia3,Patricia Garcia Castillo,1958-08-04,0722890787,2022-04-14
HIS-0479366,mfigueroa3,Manuel Figueroa Martinez,1993-10-10,0837059047,2024-04-24
HIS-2919129,cmartinez6,Claudia Martinez Benítez,1991-09-17,1529612291,2024-10-30
HIS-7498612,dortega2,David Ortega Guzmán,1986-06-19,1346862749,2023-12-28
HIS-7869392,rcruz5,Raul Cruz Ruiz,1993-11-27,1511156786,2022-09-01
HIS-5936140,laguilar3,Laura Aguilar Castillo,1961-09-24,0244231593,2022-06-02
HIS-9406490,cjimenez7,Carlos Jimenez Castro,1964-08-18,2004644940,2022-07-10
HIS-6830387,aalvarado5,Antonio Alvarado Figueroa,2003-08-22,0209860683,2022-11-08
HIS-8287317,caguilar9,Carlos Aguilar Shiguango,1973-01-02,0240585828,2023-04-18
HIS-9687274,rgonzalez3,Ricardo Gonzalez Cerda,1972-10-27,1407598968,2023-12-11
HIS-3347474,rgonzalez4,Ricardo Gonzalez Figueroa,1974-11-06,1901026334,2024-05-15
HIS-1380423,mchavez2,Mario Chávez Chávez,2004-02-22,0914482138,2024-01-30
HIS-9747022,greyes2,Gabriela Reyes Rivera,1970-05-23,0735083974,2022-10-24
HIS-7397415,bshiguango1,Beatriz Shiguango Cáceres,1974-09-06,1426280739,2023-08-23
HIS-9378878,iruiz1,Ivan Ruiz Gomez,1988-01-12,1255872937,2023-12-23
HIS-0188399,aflores4,Antonio Flores Diaz,1983-08-11,2351675018,2024-02-17
HIS-0880094,itapuy1,Isabel Tapuy Perez,2000-03-21,0839987088,2023-04-02
HIS-1257185,vchavez5,Verónica Chávez Diaz,1971-11-09,2136445125,2022-09-27
HIS-9919428,rcerda5,Roberto Cerda Martinez,1994-03-03,1508606991,2024-02-20
HIS-3679819,mvargas4,Maria Vargas Gomez,1998-10-13,1645710367,2023-09-07
HIS-8830213,grivera2,Gabriel Rivera Benítez,2002-03-07,1749908883,2024-03-30
HIS-4349085,prodriguez2,Paola Rodriguez Grefa,1990-04-25,2128844434,2022-05-29
HIS-9765945,dvargas5,Daniel Vargas Morales,1959-09-28,1723097976,2024-08-25
HIS-7428849,mperez3,Mario Perez Morales,1988-02-15,0402659742,2022-02-04
HIS-8526321,rtorres2,Raul Torres Tapuy,1963-08-06,1148811852,2024-03-22
HIS-2559713,oortega,Oscar Ortega Morales,1997-08-02,0400179255,2022-12-28
HIS-0785598,mgonzalez5,Maria Gonzalez Jimenez,1955-07-24,1346136078,2023-02-24
HIS-5129722,pcruz1,Pablo Cruz Chávez,1997-02-26,0106262512,2023-11-24
HIS-2417038,ctorres3,Cristian Torres Rodriguez,1970-04-19,1937309241,2022-04-13
HIS-9588649,ccerda4,Cristian Cerda Chávez,1986-06-02,1623391958,2022-07-09
HIS-4545610,rramirez3,Rodrigo Ramirez Jimenez,1956-03-07,1320039454,2022-12-13
HIS-9178545,gsanchez,Gabriela Sanchez Figueroa,1985-11-12,1749060917,2022-02-12
HIS-6575639,vmedina3,Victor Medina Rivera,1956-04-13,2218439657,2023-11-27
HIS-7455864,amendez3,Andrea Mendez Perez,1958-01-05,0922719745,2022-02-07
HIS-4325843,ddiaz1,Daniela Diaz Castillo,1958-11-17,1422729432,2022-08-27
HIS-7096767,vlopez3,Verónica Lopez Flores,1967-05-24,0730741709,2022-07-11
HIS-4076534,dalvarado,Diego Alvarado Rodriguez,1965-09-04,1924175407,2024-07-01
HIS-9608581,nguzman2,Nicolas Guzmán Medina,1985-07-09,2051082960,2024-08-07
HIS-3906254,sromero5,Sofia Romero Martinez,1962-01-05,1825014390,2024-12-02
HIS-3270436,freyes3,Fernando Reyes Cerda,2004-06-06,2215520327,2024-12-21
HIS-3809984,igarcia1,Isabel Garcia Vega,1999-12-28,1610830380,2022-05-14
HIS-7468480,ggarcia1,Gabriel Garcia Tapuy,1984-07-16,0447095746,2023-03-01
HIS-7936934,mcastillo1,Miguel Castillo Chávez,1969-08-25,1436959793,2022-03-29
HIS-4309914,gaguilar4,Gabriel Aguilar Medina,1999-09-03,1151413430,2024-06-02
HIS-3757134,osanchez3,Oscar Sanchez Shiguango,1971-04-10,0114236375,2022-06-03
HIS-1470549,lramirez4,Lorena Ramirez Vega,2005-04-24,2442611147,2023-12-06
HIS-6818938,ccastillo3,Carmen Castillo Ortega,1989-11-17,1427311681,2023-07-04
HIS-6520346,lramirez5,Luis Ramirez Vargas,2003-11-05,1855781652,2023-07-31
HIS-0876029,scerda3,Sergio Cerda Rivera,1960-04-15,1407346087,2022-10-01
HIS-9149036,eromero2,Eduardo Romero Garcia,1990-12-14,2110834914,2022-07-16
HIS-5538016,etorres1,Elena Torres Rivera,1980-08-03,2138181553,2024-04-15
HIS-2885941,ivargas2,Ivan Vargas Gonzalez,1959-01-11,2438760288,2022-03-04
HIS-3946141,dalvarado1,Daniela Alvarado Gonzalez,1961-05-14,0648379394,2023-12-15
HIS-7298696,paguilar2,Patricio Aguilar Espinoza,1986-09-01,1752320729,2022-05-13
HIS-4458361,dlopez6,Daniela Lopez Perez,1983-05-17,0951280445,2023-11-07
HIS-2799064,pcastro3,Patricio Castro Alvarado,1990-10-28,2146173279,2022-04-11
HIS-3338377,vgonzalez3,Valeria Gonzalez Aguilar,1983-08-23,1944366333,2024-10-12
HIS-8317351,fguzman3,Fabian Guzmán Jimenez,1973-03-09,1143618831,2023-07-01
HIS-2969275,rruiz3,Ricardo Ruiz Tapuy,1992-05-01,2102178296,2023-04-02
HIS-0888474,itapuy2,Isabel Tapuy Herrera,1984-01-28,0352698088,2024-10-12
HIS-5927558,cperez5,Cristian Perez Reyes,1975-08-10,0544027592,2024-12-03
HIS-0570458,sgonzalez5,Sergio Gonzalez Garcia,2004-01-24,2257056057,2024-06-02
HIS-2476889,sgonzalez6,Silvia Gonzalez Romero,1968-04-25,0707660247,2024-03-03
HIS-4200058,vromero2,Verónica Romero Chávez,2000-10-14,0930683420,2024-03-30
HIS-0306288,iramos5,Ivan Ramos Castillo,1962-10-08,1740414030,2024-07-10
HIS-2108559,dfigueroa3,Diego Figueroa Cruz,1985-03-11,0144431210,2024-04-01
HIS-3748584,pmartinez1,Pablo Martinez Ruiz,1985-07-16,2116578374,2024-01-10
HIS-9667630,storres6,Sebastian Torres Jimenez,1976-05-22,2037371966,2022-02-18
HIS-7628287,svargas7,Silvia Vargas Cruz,1982-09-20,1858269762,2024-03-11
HIS-5958456,pvega5,Paola Vega Morales,1984-01-15,1904183595,2022-10-10
HIS-4746240,cflores4,Camila Flores Shiguango,1962-05-13,1831095474,2022-01-15
HIS-0869186,srodriguez3,Sergio Rodriguez Morales,1991-11-22,1138991086,2023-03-18
HIS-7776936,acastro5,Andrea Castro Guzmán,1969-04-25,1654631777,2024-03-14
HIS-8608338,pgarcia4,Pablo Garcia Diaz,1983-01-25,0556249860,2023-10-03
HIS-1747111,mreyes1,Monica Reyes Herrera,1971-09-06,1955412174,2024-12-26
HIS-6836011,prodriguez3,Patricio Rodriguez Ortega,1960-06-05,0835045683,2023-09-08
HIS-8608212,hcastillo,Hugo Castillo Ramos,1982-10-10,1144276860,2022-11-13
HIS-5097057,mcastillo2,Monica Castillo Castro,1970-11-06,1331629509,2024-04-15
HIS-0319375,fvega1,Fernando Vega Chávez,1993-09-20,2324612031,2022-12-21
HIS-2845915,ccruz4,Claudia Cruz Romero,1959-04-24,0724256284,2023-06-11
HIS-4015623,rperez4,Rosa Perez Grefa,1956-11-21,2420582401,2024-06-01
HIS-0340398,aespinoza5,Adriana Espinoza Ramos,2003-03-18,0757253034,2022-02-03
HIS-0770333,crodriguez7,Claudia Rodriguez Martinez,2003-05-21,1913195077,2023-03-05
HIS-8487036,drodriguez3,Diana Rodriguez Romero,1970-10-19,2225562848,2023-08-16
HIS-7858881,oortega1,Oscar Ortega Perez,1988-04-01,1848578785,2022-05-26
HIS-6228352,eespinoza1,Elena Espinoza Cerda,1983-06-17,1030745622,2024-07-14
HIS-9008615,ctorres4,Cristian Torres Lopez,1986-04-20,1622046900,2022-12-10
HIS-7169460,eherrera5,Elena Herrera Jimenez,1994-11-21,0157319716,2022-05-28
HIS-1008911,vvega2,Victor Vega Perez,1989-04-04,2136647100,2023-01-30
HIS-2979028,sruiz4,Sebastian Ruiz Perez,1990-07-01,2143215297,2023-08-31
HIS-7138819,mtapuy7,Manuel Tapuy Torres,1988-09-20,0714644713,2022-12-03
HIS-4759579,sramirez5,Sergio Ramirez Lopez,1995-11-14,0232908475,2023-11-09
HIS-5950279,achavez4,Adriana Chávez Castro,2002-08-17,1903367595,2023-08-02
HIS-4366454,scruz2,Sofia Cruz Lopez,1964-07-25,1804533436,2024-08-17
HIS-3878732,vortega3,Verónica Ortega Diaz,1987-03-03,2346416387,2024-08-30
HIS-8618071,creyes7,Cristian Reyes Rodriguez,1980-06-22,1804808861,2024-08-09
HIS-9858124,mtorres7,Miguel Torres Castro,1981-08-07,0456810985,2024-07-13
HIS-4106733,dgarcia2,David Garcia Medina,1967-11-15,1838646410,2023-08-21
HIS-3956188,gramos3,Gabriel Ramos Castro,1961-05-22,1349977395,2022-02-04
HIS-3269997,ccastro4,Cristian Castro Gonzalez,1999-02-12,1251996326,2023-12-07
HIS-2885837,dgrefa2,Daniel Grefa Mendez,1958-06-03,0332906288,2024-12-05
HIS-8737947,fcaceres1,Fernando Cáceres Cruz,1979-03-04,1415680873,2024-10-02
HIS-6878181,maguilar6,Mario Aguilar Mendez,1981-11-06,1622932687,2022-03-24
HIS-1277142,mcerda4,Monica Cerda Flores,1971-02-20,1317733127,2024-06-24
HIS-5169951,fromero2,Fernanda Romero Gomez,1999-11-05,0526968516,2023-09-01
HIS-8028932,mcastillo3,Maria Castillo Garcia,1989-11-08,2105745802,2022-09-01
HIS-2297872,atapuy6,Ana Tapuy Alvarado,1978-04-10,0815948229,2022-08-09
HIS-1417196,vaguilar2,Valeria Aguilar Sanchez,1971-05-18,0901910141,2022-01-17
HIS-8535513,dshiguango1,David Shiguango Gonzalez,1955-09-01,0537156853,2023-01-29
HIS-5878126,dcaceres3,Diego Cáceres Lopez,1981-11-11,1321996587,2024-07-16
HIS-0015510,hrivera,Hugo Rivera Reyes,1955-01-23,1835626001,2023-05-22
HIS-2280285,tdiaz,Teresa Diaz Ramos,2002-03-06,1818687228,2023-02-24
HIS-9836437,emedina2,Elena Medina Rivera,1964-11-18,0424151983,2024-04-17
HIS-7467874,eespinoza2,Eduardo Espinoza Rivera,1978-06-28,2333898746,2024-12-10
HIS-9155685,lflores2,Lucia Flores Grefa,1956-12-21,2114638915,2022-11-03
HIS-7977619,fespinoza1,Fernando Espinoza Figueroa,1976-05-18,2209416797,2022-06-15
HIS-4957773,erivera1,Elena Rivera Grefa,1977-12-18,0928487495,2022-02-15
HIS-1967791,pmartinez2,Patricio Martinez Benítez,1977-12-25,2150570196,2024-02-05
HIS-8149854,fbenitez4,Fabian Benítez Jimenez,1998-01-01,1440015814,2022-10-05
HIS-5715852,mcastro1,Manuel Castro Torres,1958-11-18,1054609571,2023-03-12
HIS-3466754,calvarado3,Cristian Alvarado Figueroa,1967-01-11,0141006346,2024-09-03
HIS-7557859,rvega1,Roberto Vega Benítez,1978-01-24,2118765755,2024-05-22
HIS-0088327,privera3,Paola Rivera Medina,1983-10-17,1047130008,2023-12-17
HIS-6309235,vramos2,Valeria Ramos Garcia,1992-07-21,1004505630,2022-09-05
HIS-9830110,lchavez3,Lucia Chávez Guzmán,2001-02-03,1229422983,2024-11-30
HIS-0930487,vramos3,Verónica Ramos Mendez,2004-05-16,0730489093,2023-06-02
HIS-6108989,ashiguango2,Adriana Shiguango Ruiz,1989-05-07,2348938610,2022-06-16
HIS-1227664,sgonzalez7,Sofia Gonzalez Castro,1976-10-12,1950053122,2024-06-23
HIS-8300251,ssanchez4,Sandra Sanchez Rivera,2002-04-25,1441307830,2023-06-20
HIS-7126335,dchavez3,Diego Chávez Cerda,1963-09-27,0252455712,2024-04-23
HIS-8147233,lmartinez4,Lorena Martinez Flores,1972-11-14,0707402814,2022-01-05
HIS-7088595,pchavez,Pablo Chávez Medina,1985-03-21,0906298708,2023-02-10
HIS-3530338,aherrera5,Ana Herrera Vargas,2003-07-03,1822602353,2022-08-26
HIS-4047757,fchavez1,Fernando Chávez Cerda,1977-07-08,2017523404,2024-11-08
HIS-9869490,sherrera5,Sergio Herrera Cruz,1994-12-05,2047486986,2024-04-11
HIS-7569660,omendez1,Oscar Mendez Garcia,1996-07-11,1027501756,2024-12-31
HIS-0627995,ddiaz2,Diego Diaz Rivera,1979-04-11,1010430062,2022-06-10
HIS-3266431,lflores3,Lorena Flores Martinez,1964-05-24,0546122326,2022-11-16
HIS-3229152,cflores5,Carlos Flores Morales,1991-02-23,2310001322,2023-04-23
HIS-4839218,mcastillo4,Mario Castillo Ruiz,1992-06-07,0457629483,2024-02-09
HIS-3388164,sdiaz2,Sergio Diaz Garcia,1981-02-16,2130906338,2023-02-10
